,frequency
RL,1066
RM,191
FV,62
RH,11
C (all),8
9600,23
7200,20
6000,16
8400,13
9000,12
10800,11
1680,9
9100,8
7500,8
3182,7
6120,7
6240,7
7800,6
8125,6
8450,6
9750,5
10140,5
4500,5
10400,5
10000,5
5400,5
4435,5
8750,4
8520,4
11250,4
13125,4
8640,4
9375,4
6600,4
5000,4
10625,4
11700,4
9900,4
4426,3
8012,3
12090,3
10200,3
3675,3
9084,3
8712,3
10440,3
14115,3
11600,3
7750,3
9120,3
6762,3
7875,3
9920,3
9200,3
2117,3
2280,3
7000,3
8800,3
8500,3
2522,3
14000,2
9786,2
11340,2
14803,2
15611,2
9819,2
13891,2
12342,2
13500,2
10410,2
10120,2
8773,2
7917,2
10240,2
4438,2
8250,2
11475,2
10500,2
8814,2
8172,2
8760,2
9350,2
10762,2
8000,2
7700,2
12000,2
12155,2
12160,2
11040,2
3196,2
7024,2
6292,2
11029,2
9317,2
12665,2
11767,2
11275,2
13600,2
3180,2
9790,2
8816,2
9020,2
11900,2
9937,2
8100,2
4043,2
11000,2
11500,2
7153,2
9135,2
9500,2
8846,2
10530,2
9571,2
8877,2
10480,2
3922,2
9760,2
11988,2
8480,2
11075,2
2665,2
7931,2
2308,2
9187,2
10237,2
9245,2
9042,2
2645,2
11616,2
9525,2
7590,2
11200,2
9591,2
13072,2
4928,2
7420,2
7758,2
3230,2
8892,2
7892,2
10382,2
11645,2
13695,2
4224,2
10335,2
10084,2
7560,2
9965,2
